,type,country,sex_,species_,fatal_(y/n),date,new_sex,new_type,year,age,new_age
323,Unprovoked,brazil,M,tiger_shark,N,21-Dec-2015,M,Unprovoked,2015.0,32.0,32.0
324,Unprovoked,aruba,M,unspecified,Y,19-Dec-2015,M,Unprovoked,2015.0,58.0,58.0
325,Boating,australia,,white_shark,N,13-Dec-2015,M,Boating,2015.0,27.6,27.32915451895044
326,Unprovoked,bahamas,M,unspecified,N,11-Dec-2015,M,Unprovoked,2015.0,26.0,26.0
327,Unprovoked,south africa,F,unspecified,N,08-Dec-2015,F,Unprovoked,2015.0,22.0,22.0
328,Unprovoked,ecuador,M,unspecified,N,20-Nov-2015,M,Unprovoked,2015.0,55.0,55.0
329,Unprovoked,usa,M,unspecified,N,16-Nov-2015,M,Unprovoked,2015.0,27.6,27.32915451895044
330,Unprovoked,usa,F,unspecified,N,15-Nov-2015,F,Unprovoked,2015.0,27.6,27.32915451895044
331,Unprovoked,usa,M,unspecified,N,15-Nov-2015,M,Unprovoked,2015.0,28.0,28.0
332,Unprovoked,australia,M,unspecified,N,10-Nov-2015,M,Unprovoked,2015.0,20.0,20.0
333,Invalid,usa,F,unspecified,,07-Nov-2015,F,Invalid,2015.0,9.0,9.0
334,Unprovoked,usa,M,unspecified,N,03-Nov-2015,M,Unprovoked,2015.0,54.0,54.0
335,Unprovoked,usa,F,unspecified,N,01-Nov-2015,F,Unprovoked,2015.0,28.0,28.0
336,Unprovoked,mozambique,M,unspecified,N,01-Nov-2015,M,Unprovoked,2015.0,19.0,19.0
337,Unprovoked,australia,M,unspecified,N,30-Oct-2015,M,Unprovoked,2015.0,50.0,50.0
338,Unprovoked,usa,M,unspecified,N,28-Oct-2015,M,Unprovoked,2015.0,10.0,10.0
339,Unprovoked,south africa,M,white_shark,N,25-Oct-2015,M,Unprovoked,2015.0,42.0,42.0
340,Unprovoked,usa,M,unspecified,N,21-Oct-2015,M,Unprovoked,2015.0,21.0,21.0
341,Unprovoked,usa,M,unspecified,N,19-Oct-2015,M,Unprovoked,2015.0,21.0,21.0
342,Unprovoked,mozambique,F,unspecified,Y,17-Oct-2015,F,Unprovoked,2015.0,35.0,35.0
343,Invalid,usa,M,unspecified,,17-Oct-2015,M,Invalid,2015.0,32.0,32.0
344,Unprovoked,usa,M,tiger_shark,N,17-Oct-2015,M,Unprovoked,2015.0,44.0,44.0
345,Boating,usa,M,unspecified,N,13-Oct-2015,M,Boating,2015.0,27.6,27.32915451895044
346,Unprovoked,usa,F,unspecified,N,09-Oct-2015,F,Unprovoked,2015.0,9.0,9.0
347,Unprovoked,usa,M,tiger_shark,N,09-Oct-2015,M,Unprovoked,2015.0,25.0,25.0
348,Unprovoked,mozambique,M,unspecified,N,08-Oct-2015,M,Unprovoked,2015.0,27.6,27.32915451895044
349,Unprovoked,australia,M,unspecified,N,07-Oct-2015,M,Unprovoked,2015.0,18.0,18.0
350,Unprovoked,usa,M,unspecified,N,05-Oct-2015,M,Unprovoked,2015.0,22.0,22.0
