,year,type,country,sex_,age,species_,fatal_(y/n),date
4998,1931,Unprovoked,cuba,M,,unspecified,Y,23-Aug-1931
4999,1931,Unprovoked,usa,M,,unspecified,N,18-Aug-1931
5000,1931,Unprovoked,usa,M,,unspecified,N,Reported 06-Aug-1931
5001,1931,Unprovoked,australia,M,,unspecified,Y,01-Aug-1931
5002,1931,Unprovoked,fiji,M,,unspecified,N,Reported 28-Jul-1931
5003,1931,Unprovoked,usa,M,,unspecified,N,15-Jul-1931
5004,1931,Unprovoked,usa,M,,unspecified,N,14-Jun-1931
5005,1931,Provoked,usa,M,,tiger_shark,N,13-Jun-1931
5006,1931,Unprovoked,usa,M,,unspecified,N,Reported 04-Jun-1931
5007,1931,Boating,australia,,,unspecified,N,02-May-1931
5008,1931,Unprovoked,,M,,unspecified,Y,Reported 27-Apr-1931
5009,1931,Unprovoked,australia,M,19,unspecified,Y,22-Mar-1931
5010,1931,Boating,turkey,,,unspecified,N,16-Mar-1931
5011,1931,Provoked,australia,M,,unspecified,N,06-Mar-1931
5012,1931,Invalid,australia,M,39,unspecified,,10-Feb-1931
5013,1931,Unprovoked,australia,M,,unspecified,N,24-Jan-1931
5014,1931,Unprovoked,australia,M,,unspecified,N,14-Jan-1931
5015,1931,Unprovoked,australia,M,18,unspecified,N,07-Jan-1931
5016,1931,Unprovoked,tonga,M,,unspecified,Y,1931
5017,1931,Unprovoked,papua new guinea,,,unspecified,UNKNOWN,1931
5018,1930,Unprovoked,australia,M,49,unspecified,N,25-Dec-1930
5019,1930,Unprovoked,australia,M,,unspecified,Y,13-Dec-1930
5020,1930,Boating,australia,,,unspecified,N,02-Dec-1930
5021,1930,Unprovoked,australia,M,,unspecified,Y,Dec-1930
5022,1930,Unprovoked,australia,M,,unspecified,N,30-Nov-1930
5023,1930,Unprovoked,honduras,M,,unspecified,Y,Reported 26-Sep-1930
5024,1930,Boating,azores,,,unspecified,N,1930
5025,1930,Unprovoked,australia,M,17,unspecified,N,31-Aug-1930
5026,1930,Unprovoked,spain,M,38,unspecified,N,16-Aug-1930
5027,1930,Unprovoked,usa,M,,unspecified,N,06-Aug-1930
5028,1930,Unprovoked,cuba,M,29,unspecified,N,19-Jul-1930
5029,1930,Unprovoked,usa,M,21,tiger_shark,N,11-Jul-1930
5030,1930,Unprovoked,australia,M,,unspecified,Y,04-Jun-1930
5031,1930,Unprovoked,usa,M,,unspecified,N,27-May-1930
5032,1930,Boating,turkey,M,,unspecified,N,Reported 11-May-1930
5033,1930,Invalid,costa rica,,,unspecified,,11-May-1930
5034,1930,Invalid,south africa,M,17,unspecified,,08-Apr-1930
5035,1930,Unprovoked,usa,M,,unspecified,N,Reported 07-Mar-1930
