,year,type,country,sex_,age,species_,fatal_(y/n),date
1997,2000,Unprovoked,australia,M,17,White shark,Y,25-Sep-2000
1998,2000,Unprovoked,australia,M,25,"White shark, 4 m to 5 m [13' to 16.5'] ",Y,24-Sep-2000
1999,2000,Provoked,australia,M,12,100-kg [221-lb] dead blue shark,N,19-Sep-2000
2000,2000,Unprovoked,okinawa,M,31,"White shark, 2.5 m ",Y,16-Sep-2000
2001,2000,Unprovoked,usa,,,,N,16-Sep-2000
2002,2000,Unprovoked,usa,M,49,,N,15-Sep-2000
2003,2000,Unprovoked,usa,F,26,,N,12-Sep-2000
2004,2000,Unprovoked,usa,M,25,60 cm to 90 cm [2' to 3'] shark,N,11-Sep-2000
2005,2000,Unprovoked,usa,M,8,,N,10-Sep-2000
2006,2000,Unprovoked,south africa,M,48,"White shark, 3.5 m [11.5']  male ",N,10-Sep-2000
2007,2000,Unprovoked,tanzania,M,28,Thought to involve a Zambesi shark,Y,08-Sep-2000
2008,2000,Unprovoked,usa,M,40,1.5 m [5'] shark,N,08-Sep-2000
2009,2000,Unprovoked,reunion,M,27,"Tiger shark, 3 m [10'] ",N,08-Sep-2000
2010,2000,Unprovoked,tanzania,,,Thought to involve a Zambesi shark,Y,Early Sep-2000
2011,2000,Unprovoked,usa,M,47,A 2' shark was seen in the area by witnesses,N,31-Aug-2000
2012,2000,Unprovoked,usa,M,69,"Thought to involve a 2.7 m [9'], 400-lb bull shark",Y,30-Aug-2000
2013,2000,Provoked,usa,M,,Salmon shark,N,Reported 27-Aug-2000
2014,2000,Unprovoked,usa,M,,,N,21-Aug-2000
2015,2000,Unprovoked,usa,M,53,"Tiger shark, 3.7 m to 4.5 m [12' to 14'9""]  ",N,15-Aug-2000
2016,2000,Unprovoked,usa,M,27,juvenile shark,N,13-Aug-2000
2017,2000,Unprovoked,usa,F,44,"Blacktip shark, 2.4 m to 3 m [8' to 10'] ",N,12-Aug-2000
2018,2000,Invalid,usa,M,,Shark involvement  not confirmed,,11-Aug-2000
2019,2000,Invalid,usa,M,23 & 20,Shark involvement prior to death was not confirmed,,10-Aug-2000
2020,2000,Unprovoked,tanzania,,,Thought to involve a Zambesi shark,Y,Aug-2000
2021,2000,Unprovoked,usa,M,5,,N,25-Jul-2000
2022,2000,Unprovoked,usa,F,45,"Nurse shark, 1.5 m [5']",N,22-Jul-2000
2023,2000,Unprovoked,usa,M,16,,N,17-Jul-2000
2024,2000,Unprovoked,usa,M,14,1.8 m [6'] grey-colored shark,N,16-Jul-2000
